index	sentence	check	triplet
1484	염화칼슘 또는 염소이온을 포함하는 화학혼화제는 프리스트레스트콘크리트, 알루미늄 제품을 매입한 콘크리트 또는 아연 도금한 고정형 금속 형틀을 사용한 콘크리트의 경우에 사용할 수 없다.	0	
1485	단순접합부는 무시할 정도로 작은 모멘트를 전달한다.	1	['단순접합부는', '모멘트를', '전달한다.']
1486	강재굴뚝과 같이 지름-두께비가 큰 원통을 사용하는 경우에는 국부좌굴을 고려한 허용응력을 사용한다.	0	
1487	특별 보강철근은 모퉁이부터 긴 경간의 1/5 길이만큼 각 방향에 배치하여야 한다.	0	
1488	지판 부위의 슬래브 철근량을 계산할 때 슬래브 아래로 돌출한 지판의 두께는 지판의 외단부에서 기둥이나 기둥머리 면까지 거리의 1/4 이하이어야 한다.	0	
1489	골의 폭 또는 헌치의 평균폭은 50mm 이상이어야 하며 계산에 사용될 경우 데크플레이트 상단의 최소 순폭 이하로 한다.	0	
1490	이 기준의 규정은 부재 단면에 작용하는 휨모멘트와 축력의 계산 및 강도 계산에 적용하여야 한다.	0	
1491	평판 인장재의 단부에 길이방향으로 필릿용접이 될 경우 각 필릿용접의 길이는 이들 용접의 직각방향 간격보다 길게 해야 한다.	0	
1492	각 전단머리의 부재 끝은 수평과 30° 이상의 각으로 절단할 수 있으나 이때는 가늘어진 단면에서 소성휨모멘트가 해당 전단머리의 부재에 할당된 전단력을 저항하는 데 충분하여야 한다.	0	
1493	유공커버플레이트의 대안으로써, 래티스 설치에 지장이 있는 경우 단부와 중간부에 띠판을 설치할 수 있다.	0	
1494	이외에도 콘크리트는 횡방향철근에 의해 구속되어야 한다.	0	
1495	문 접촉부문 접촉부는 문체의 받침부에서 하중을 안전하게 지지구조물에 전달하는 구조로 하고 사용 목적에 따라 적절한 형상이어야 한다.	0	
1496	전단력에 대한 설계는 KDS 14 20 22(4.9)의 규정에 따라야 한다.	0	
1497	D6에서 D35까지 철근에서 직선철근의 정착길이는 철근 하부에 한 번에 친 콘크리트의 깊이가 300mm를 초과하지 않을 경우에는 (1)에 규정된 길이의 2.5배 이상, 철근 하부에 한 번에 친 콘크리트의 깊이가 300mm를 초과할 경우에는 (1)에 규정된 길이의 3.5배 이상으로 하여야 한다.	1	['깊이가', '300mm를', '초과하지']
1498	고장력볼트의 구멍중심에서 피접합재의 연단까지의 최소거리는 연단부 가공방법을 고려하여 표 4.1-2에 따른다.	0	
1499	기초판에서 압축력만을 받는 경우에 D41과 D51인 종방향 철근은 4.2.3.1에서 요구하는 힘의 전달을 위한 다월철근과 겹침이음을 할 수 있다.	1	['철근은', '겹침이음을', '할']
1500	탄산화에 대한 허용 성능저하 한도는 탄산화 침투깊이가 철근의 깊이까지 도달한 상태를 탄산화에 대한 허용 성능저하 한계상태로 정하도록 한다.	0	
1501	매입형 합성단면을 제외하고는 강재 보와 콘크리트 슬래브면 사이의 전체 수평전단력은 전단연결재에 의해서만 전달된다고 가정한다.	0	
1502	별도의 시험에 의해 결정된 경우가 아니면, 확장 또는 언더컷 후설치앵커에 대한  값은 부재치수의 2/3와 (부재치수-100mm) 중 큰 값 이하이어야 한다.	0	
1503	건축 구조물 접합부는 건축강구조 표준접합상세지침에 따르고 그렇지 않을 경우 구조상의 안전에 이상이 없도록 해야 한다.	0	
1504	설계상황에 따라 동시에 발생 가능한 모든 하중들의 하중조합을 고려하여야 하며 하중의 변동폭과 하중조합의 특성에 따라 적절한 안전계수를 적용할 수 있다.	0	
1505	프리캐스트콘크리트 항타 말뚝의 경우, 말뚝 단부의 높이 변화 가능성을 고려하여 횡방향 철근의 배근 구간을 충분히 확보하여야 한다.	0	
1506	접합부는 구조 일체성이 확보되도록 설계하여야 한다.	0	
1507	각 단면에서 긴장재를 포함한 전체 종방향 철근은 그 단면의 계수휨모멘트와 그 단면의 계수비틀림모멘트에 의한 추가적인 집중 종방향 인장력을 합친 단면력에 저항할 수 있어야 한다.	0	
1508	90°표준갈고리는 구부린 끝에서 12 이상 더 연장되어야 한다.	0	
1509	콘크리트의 압축강도가 90MPa을 초과하는 경우에는 성능실험을 통한 조사연구에 의하여 이 값들을 선정하고 근거를 명시하여야 한다.	0	
1510	핀구멍의 중심은 모재판의 종축선 상에 위치해야 한다.	0	
1511	철근콘크리트에 매입된 강재 경계부재가 제5장에서 명시된 합성기둥에 해당하는 경우 4.2.1.4.1의 보통 내진시스템의 요구사항을 만족하도록 설계해야 한다.	0	
1512	피로하중에 의해 유발되는 파괴상태를 검토할 때, 반복하중에 의해 부재가 파괴되지 않는다는 것을 검증하여야 한다.	0	
1513	아이바의 두께는 13mm 이상 그리고 50mm 이하이어야 한다.	0	
1514	모든 창이나 출입구 등의 개구부 주위에 2개 이상의 지름 D16 이상의 철근을 배치하여야 한다.	0	
1515	합성휨부재는 KDS 14 20 30(4.2.4)의 처짐 제한 규정을 만족하여야 한다.	1	['합성휨부재는', '규정을', '만족하여야 한다.']
1516	혼화재로 사용할 콘크리트용 팽창재는 KS F 2562에 적합한 것이어야 한다.	0	
1517	각 층 바닥 또는 지붕층 바닥 주위의 둘레 연결철근은 모서리에서 1.2m 이내에 있어야 하며 71,000N 이상의 공칭인장강도를 가져야 한다.	1	['연결철근은', '공칭인장강도를', '가져야 한다.']
1518	플랜지와 평행한 축에 대해 보강재하단에서의 보강재 1개의 단면2차모멘트는 다음을 만족해야 한다.	1	['단면2차모멘트는', '다음을', '만족해야']
1519	설계 균열폭은 부록 식(4.1-2)에 따라 계산한다.	0	
1520	압축력이 다음 제한값을 초과할 때 집중력을 받는 복부판에 보강재를 배치한다.	1	['압축력이', '제한값을', '초과할']
1521	이 기준의 규정은 무근콘크리트 부재의 설계에 적용하여야 한다.	0	
1522	다만, 단순경간의 받침부와 캔틸레버의 자유단에서 이 규정은 적용되지 않는다.	0	
1523	프리스트레스트콘크리트 부재의 설계축강도는 편심이 없는 경우의 설계축강도에 대해서 나선철근 부재는 0.85배, 띠철근 부재는 0.80배를 초과하지 않아야 한다.	1	['설계축강도는', '0.80배를', '초과하지']
1524	이 기준의 부록은 장방형 슬래브의 설계용 계수를 제시한다.	1	['부록은', '계수를', '제시한다.']
1525	겹침이음 철근을 둘러싸는 횡방향 철근의 간격은  이하, 또한 100mm 이하이어야 한다.	0	
1526	플랜지에 작용하는 하중이 직접 지압에 의해 복부에 전달되는 것이 아닐 경우에는, 플랜지와 복부를 접합하는 볼트 또는 용접은 플랜지에 작용하는 모든 하중이 복부에 전달되도록 해야 한다.	0	
1527	매입형 합성단면 연결보는 C.2.8.2의 요구사항과 다음과 같은 수정된 요구사항을 만족해야 한다.	1	['연결보는', '요구사항을', '만족해야 한다.']
1528	프리스트레스를 가하지 않은 휨부재는 공칭강도 상태에서 순인장변형률이 휨부재의 최소 허용변형률 이상이어야 한다.	1	['휨부재는', '허용변형률', '이상이어야 한다.']
1529	특수 내진시스템에서의 매입형 합성기둥은 4.2.1.4.1과 4.2.1.4.2의 요구사항 뿐만 아니라 다음의 요구사항을 추가로 만족해야 한다.	1	['합성기둥은', '요구사항을', '만족해야 한다.']
1530	철근 및 용접철망의 이음에 대해서도 이 기준의 규정을 적용하여야 한다.	0	
1531	각각의 부재요소는 각 재하단계에서 시공과정부터 발생 가능한 모든 위험한 하중조건에 대해 검토하여야 한다.	0	
1532	이 기준의 규정 중에서 4.1.1의 규정은 1방향 슬래브에 적용하여야 하고, 그 외의 4.1 규정은 받침부 사이에 보의 유무에 관계없이 2방향 이상으로 휨 보강되는 슬래브 시스템 설계에 적용하여야 한다.	0	
1533	응력을 전달하는 필릿용접 이음부의 길이는 모살치수의 10배 이상 또한 40mm 이상을 원칙으로 한다.	1	['길이는', '이상을', '한다.']
1534	전단강도는 KDS 14 20 22의 규정을 만족하여야 한다.	1	['전단강도는', '규정을', '만족하여야 한다.']
1535	플레이트거더 또는 보의 단면 내에서 다른 형태의 이음은 이음점에서의 소요강도에 충분하도록 설계해야 한다.	0	
1536	보의 단부 회전을 수용하기 위한 접합부의 자체 제한적 비탄성 변형은 허용된다.	0	
1537	인장재의 설계인장강도는 총단면의 항복한계상태과 유효순단면의 파단한계상태에 대해 식(4.1-4)과 식(4.1-5)에 의해 산정된 값 중 작은 값으로 한다.	0	
1538	휨부재에서 최대 응력점과 경간 내에서 인장철근이 끝나거나 굽혀진 위험단면에서 철근의 정착에 대한 안전을 검토하여야 한다.	0	
1539	트러스의 절점은 강결에 의한 2차응력이 가능한 한 작도록 한다.	0	
1540	하중이 플레이트의 단부에서 두 연단을 따라 종방향의 용접에 의해 플레이트에 전달될 때, 용접길이는 플레이트의 폭보다 커야 한다.	0	
1541	인장철근은 쉘의 모든 부분에 걸쳐 두 방향 이상으로 배치하여야 하며, 임의의 방향에 대한 저항력은 그 방향의 내력 성분 이상이어야 한다.	0	
1542	낄판으로 분리된 두 개 이상의 조립압축재는 긴결재 사이에서 각 개재의 세장비는 조립압축재 세장비의 3/4배 이하로 해야 한다.	0	
1543	구조적 거동이 2차효과에 의하여 현저하게 영향을 받는 구조물 또는 부재에서는 2차효과를 고려하여 부재의 휨모멘트 확대와 구조물의 안전성을 검토하여야 한다.	1	['거동이', '영향을', '받는']
1544	블리딩 시험은 KS F 2414를 따라야 한다.	1	['시험은', 'KS F 2414를', '따라야 한다.']
1545	일반적인 환경에서 강관말뚝의 부식두께는 외측 2mm로 한다.	0	
1546	단일ㄱ형강이 긴 다리와 짧은 다리의 비가 1.7 이상 또는 부재중간에 횡하중을 받고, 4.2.5(1) 또는 4.2.5(2)에 설명된 조건과 다른 단부조건일 경우 축력과 휨의 조합된 힘을 받는 부재에 대한 4.4의 규정에 따른다.	1	['단일ㄱ형강이', '횡하중을', '받고']
1547	계수비틀림모멘트가 4.4.1에서 정하는 최솟값 이상이고, 평형조건을 유지하기 위하여 요구된다면 4.5에 따라 부재를 설계하여야 한다.	0	
1548	교량의 뒴을 방지하기 위하여 중간에 다이아프램을 설치하는 것이 좋다.	0	
1549	독립기초의 기초판 설계는 이 기준의 규정을 따르는 것을 원칙으로 하며, 벽기초, 복합기초와 전면기초의 기초판 설계에도 적용할 수 있다.	1	['설계는', '것을', '하며']
1550	압축지배변형률 한계는 균형변형률 상태에서 인장철근의 순인장변형률과 같다.	0	
1551	제작, 가설 및 콘크리트의 타설 도중에 발생하는 단면의 변형을 방지하기 위하여 각 박스거더 단면의 플랜지 사이에 상부 수평가새의 필요성을 검토해야 한다.	0	
1552	횡지지재는 KDS 14 31 10(식(4.5-7)과 식(4.5-8))을 만족해야 한다.	1	['횡지지재는', '식(4.5-8))을', '만족해야 한다.']
1553	위의 4.3.2(1)의 규정에 부합될 때 벽체의 설계축강도는 식 (4.3-1)에 의하여 산정하여야 한다.	0	
1554	조밀단면 플랜지를 갖는 단면의 경우에는 압축플랜지 국부좌굴강도를 산정하지 않는다.	0	
1555	기둥 이외의 압축부재가 선단지지 되도록 가공된 경우에는 이음판과 연결재들이 모든 부분을 제 위치에 유지할 수 있도록 배치되어야 하며, 다음의 ① 또는 ②의 조건 중 하나에 따라 설계 되어야 한다.	1	['연결재들이', '부분을', '유지할']
1556	이외의 모든 구조물에 대하여 현장치기 철근콘크리트 벽체 또는 보강 조적조 벽체를 지지하는 기초에 무근콘크리트 기초를 사용할 수 있다.	0	
1557	콘크리트의 장기처짐 평가에서는 지속하중에 의한 시간 의존적 장기거동을 고려하여야 한다.	0	
1558	기둥 나머지 구간에 대한 띠철근 간격은 위에서 명시된 간격의 2배를 초과해서는 안 된다.	0	
1559	비지지길이에 따른 압축플랜지의 횡비틀림좌굴강도는 다음과 같이 구한다.	0	
1560	휨모멘트 계산에서 위험단면은 다음 위치에 있다고 가정한다.	0	
1561	4.2.8.2.1.1의 규정을 만족하는 매입형 형강이 압축력을 받지 않는 경우, 공칭휨강도는 다음 값 중 작은 값으로 한다.	0	
1562	수평연결판과 보강재가 웨브의 같은 면에 위치한 경우에는 수평연결판을 보강재에 부착해야 한다.	0	
1563	인장력을 받는 측벽의 한계상태의 경우, 설계강도는 측벽의 국부항복응력으로 한다.	0	
1564	강바닥판 부재 및 상세 또한 표 4.1-1의 강바닥판 상세범주 요구조건을 만족하도록 설계한다.	0	
1565	특성부착강도는 해당 시험방법에 따른 시험과 평가를 통해 제5백분위수로 산정하여야 한다.	0	
1566	중력하중을 주로 수직기둥, 벽 또는 골조로 지지하는 구조물에 대하여, 초기 불완전성의 효과를 나타내기 위해 이 기준의 요구사항을 만족하는 가상하중을 사용할 수 있다.	0	
1567	또한 수직연결철근은 각 프리캐스트콘크리트 벽 패널당 2개 이상 설치하여야 하며, 그 중심 간격은 3.6m 이하로 하여야 한다.	0	
1568	콘크리트 구조물의 시공계획단계에서 탄산화에 대한 내구성 평가는 구조물 설계 당시의 내구성 조건과 콘크리트의 재료, 배합, 시공방법 등에 따라 대상구조물의 탄산화에 관한 환경조건을 고려한 내구성 평가를 통하여 대상 구조물의 목표내구수명 내에서 탄산화에 대한 요구내구성능을 확보하고 있는지 여부를 수행하여야 한다.	0	
1569	계수축력이보다 큰 경우, KDS 14 20 20(식 (4.3-1))에 따른 나선철근이 부재에 배근되어 있지 않으면 철근 배치상세는 4.3.5에 따라야 한다.	0	
1570	축방향 압축력을 받는 부재의 경우 식 (4.2-2)에 의해 계산할 수 있다.	0	
1571	이 기준은 내구성이 특별히 요구되지 않는 콘크리트나, 특수한 공법 및 재료를 사용한 콘크리트를 제외한 일반적인 콘크리트에 대해 시공 전 성능저하 요인에 따른 배합 단계의 콘크리트 내구성을 평가하고 이에 따른 내구성의 확보를 위해 적용한다.	0	
1572	다만, 정확한 현황을 알 수 없는 경우에는 안전측이 되도록 하여야 한다.	0	
1573	재료의 공칭강도는 다음의 규정에 따른다.	0	
1574	연직하중, 풍하중, 지진 또는 기타 횡하중이 기둥에 연결된 부재의 접합부에서 휨모멘트의 전달을 야기할 때에는 휨모멘트 전달로 인한 전단력을 고려하여 기둥의 횡수평 철근을 설계하여야 한다.	0	
1575	합성 구조물과 철근콘크리트 구조물의 시공을 위한 계약서, 공장제작도, 설치도는 다음과 같은 사항을 명시해야 한다.	1	['설치도는', '사항을', '명시해야 한다.']
1576	플랜지와 웨브의 최소항복강도는 460MPa를 초과해서는 안 된다.	1	['최소항복강도는', '460MPa를', '초과해서는']
1577	합성이 완료된 이후에 작용하는 영구하중과 활하중은 합성단면이 지지하는 것으로 간주한다.	0	
1578	또한, 부반력에 대해서도 충분히 검토하여 안전성을 확인하고, 필요에 따라 상쇄질량 및 합리적인 보강을 실시한다.	0	
1579	보, 기둥과 같은 주요 골조부재의 접합부에서 연속철근의 이음과 접합부에서 끝나는 철근의 정착을 위해 둘레 보강이 마련되어야 한다.	0	
1580	고장력 볼트 구멍 중심에서 볼트머리 또는 너트가 접하는 접합부재의 연단까지의 최대거리는 판두께의 12배 이하 또한 150mm 이하로 한다.	0	
1581	지름이 100mm를 초과하지 않는 앵커의 콘크리트 브레이크아웃강도에 관한 요구 사항은 4.3.2와 4.4.2의 설계 방법에 의해 만족하는 것으로 간주한다.	0	
1582	각 중간대는 2개의 1/2 중간대에 할당한 휨모멘트들의 합에 견디도록 설계하여야 한다.	0	
1583	지진하중을 포함한 하중조합의 경우, 보에 작용하는 수평 및 수직지진하중은 인장 및 압축 조정가새 강도로 산정한다.	0	
1584	하이브리드 단면 또는 세장 웨브를 갖는 부재의 플랜지 응력감소계수는 4.3.3.1.1.10에 따라 결정해야 한다.	0	
1585	위험단면에서 50mm 이상 떨어진 곳에 2개 이상의 교차철선이 정착길이 내에 묻혀 있을 때, 용접원형철망의 설계기준항복강도가 발휘되는 것으로 볼 수 있다.	0	
1586	링보강재의 단면2차모멘트를 산출할 때 강관의 유효폭은 식(4.8-6)에 따른다.	0	
1587	정적하중을 받는 ㄱ형강, 쌍ㄱ형강 부재 또는 이와 유사한 부재의 단부접합에서는 상기 (1)을 적용하지 않는다.	0	
1588	동일한 핀으로 연결된 인접한 아이바의 사이를 고리모양으로 된 끼움재를 사용해야 한다.	0	
1589	접합형상이 다음의 적용한계 내에 있을 때만 이 규정을 적용할 수 있다.	0	
1590	유형 2 기계적이음은 KDS 14 20 52(4.5.1)의 규정에 따르고, 이음철근의 규정 인장강도를 달성할 수 있어야 한다.	1	['기계적이음은', '인장강도를', '달성할']
1591	염소이온의 유해량에 대한 것은 KDS 14 20 40(4.1.4)의 규정을 참조할 수 있다.	1	['것은', '규정을', '참조할']
1592	수직보강재 양쪽 웨브에서 전단력이 설계전단좌굴강도보다 크지 않은 경우, 수직보강재의 단면2차모멘트는 다음 값 중 작은 값을 만족해야 한다.	1	['단면2차모멘트는', '값을', '만족해야 한다.']
1593	비틀림에 대한 비지지길이가 횡좌굴에 대한 비지지길이보다 큰 경우, H형강이나 그와 유사한 형상의 기둥의 설계는 4.2.4를 따른다.	1	['설계는', '4.2.4를', '따른다.']
1594	화학혼화제는 KS F 2560에 규정한 것과 같거나 또는 이와 동등 이상의 것을 사용하여야 한다.	1	['화학혼화제는', '것을', '사용하여야 한다.']
1595	플랜지-웨브 필릿용접부에 근접한 모재나 횡방향 요소를 웨브나 박스플랜지에 연결하는 필릿용접 끝단에 근접한 모재의 피로강도 평가 시에 횡방향 응력 범위를 별도의 경우로 고려해야 한다.	0	
1596	사교의 경우 지점부의 수직가새는 받침의 가로방향 연결선과 일치하지 않아도 좋다.	0	
1597	콘크리트의 설계지압강도는 콘크리트압괴의 한계상태에 대하여 다음과 같이 산정한다.	0	
1598	강재보는 조밀단면이며 4.3.2.1.1에 따라 적절히 횡지지해야 한다.	0	
1599	저장탱크의 애뉴라판 설계에 있어서는 기초의 형식과 앵커의 유무 등을 고려하여 매우 안전하도록 설계해야 한다.	0	
1600	변단면 압축부재의 허용압축응력은 유효세장비에 따라 다음과 같이 산정한다.	0	
1601	길이방향 소요전단응력이 표 4.2-6의 값에 강도저감계수를 곱한 설계전단응력을 초과하는 경우에는 4.2.8.2.5에 따라서 전단연결재로 보강해야 한다.	1	['소요전단응력이', '설계전단응력을', '초과하는']
1602	실제로 측정이 이루어진 경우에 지반의 강도는 하한값을, 지반의 탄성계수는 평균값을 평가입력값으로 사용하여야 한다.	1	['탄성계수는', '평균값을', '사용하여야 한다.']
1603	소요강도의 계산에서 정의 영향을 발생시키는 하중에 대해서는 최대의 하중계수를, 부의 영향을 발생시키는 하중에 대해서는 최소의 하중계수를 적용한다.	0	
1605	직선교에서 다이아프램이나 수직 브레이싱의 이음판으로 사용되지 않은 보강재는 압축플랜지에 틈이 없도록 밀착시키거나 접합해야 하나, 인장플랜지와는 밀착시키지 않아도 된다.	0	
1606	구성에 관한 균열폭을 검토할 경우 구조물이 놓이는 환경조건을 고려하여야 한다.	0	
1607	I형보를 포함한 구조용 강재를 철근콘크리트로 보강한 합성휨부재는 다음 (2)에서 (5)까지 규정을 만족하여야 한다.	1	['합성휨부재는', '규정을', '만족하여야 한다.']
1608	단면을 구성하는 요소(플랜지, 웨브, 콘크리트 바닥판)의 단면력을 계산하고, 이를 이용하여 소성중립축이 웨브, 상부플랜지, 바닥판 중 어디에 위치하는 지를 결정한다.	0	
1609	합성기둥의 기둥-보 모멘트비는 다음과 같은 수정사항 외에는 C.1.1.5의 요구사항을 만족해야 한다.	1	['모멘트비는', '요구사항을', '만족해야 한다.']
1610	바닥 콘크리트가 굳기 이전에 발생하는 전단흐름에 저항할 수 있도록 상부 수평가새를 설치하고, 이 때 박스거더의 휨으로 인해 발생하는 하중을 고려해야 한다.	0	
1611	철근이 배치되어 있을 경우에도 철근의 강도는 고려하지 않는다.	0	
1612	다음과 같은 항목에 대하여 구조물의 안전성능을 검증하여야 한다.	0	
1613	5층 이상 건축물에서 편심 가새골조의 상부층은 보통중심 가새골조 또는 특수중심 가새골조로 설계할 수 있다.	0	
1614	슬래브-기둥 접합부 또는 기초판-기둥 접합부에 뚫림전단과 휨모멘트가 함께 작용하는 경우에는 4.11.2와 4.11.7의 규정을 모두 만족하도록 설계하여야 한다.	0	
1615	계수하중과 단면력은 KDS 14 20 10(3.2)의 규정에 따라 결정하여야 한다.	0	
1616	플레이트에 대한 폭은 자유단으로부터 연결재의 첫 번째 줄 혹은 용접선까지의 길이이다.	0	
1617	4.2.1.4.2와 4.2.1.4.3에서 중간 및 특수 지진시스템에 대해 명시된 추가적인 요구사항은 4.2.3에서 4.2.12에 걸쳐 설명된 합성 지진시스템에서 요구되는 대로 적용해야 한다.	0	
1618	휨부재에서 서로 직접 접촉되지 않게 겹침이음된 철근은 횡방향으로 소요 겹침이음길이의 1/5 또는 150mm 중 작은 값 이상 떨어지지 않아야 한다.	0	
1619	합성부재에 압축력과 휨이 동시에 작용하는 경우 KDS 14 31 05에서 요구되는 안정성을 고려해야 한다.	0	
1620	선형탄성 해석을 사용하여 구한 극한한계상태의 휨모멘트를 재분배하는 경우, 재분배된 휨모멘트는 구조물에 작용하는 하중과 정적평형조건을 만족시켜야 한다.	1	['휨모멘트는', '정적평형조건을', '만족시켜야 한다.']
1621	사용하는 부분에 따라서 부식의 진행 상황이 다를 것으로 예상되는 경우에는 모든 부분에 동일한 부식 여유분을 적용하지 않아도 좋다.	0	
1622	주요 시공단계 중에는 적절한 강도가 확보되도록 해야 한다.	0	
1623	고장력볼트의 구멍중심간의 거리는 공칭직경의 2.5배를 최소거리로 하고 3배를 표준거리로 한다.	1	['거리는', '2.5배를', '하고']
1623	고장력볼트의 구멍중심간의 거리는 공칭직경의 2.5배를 최소거리로 하고 3배를 표준거리로 한다.	1	['거리는', '3배를', '한다.']
1624	지압접합과 마찰접합 모두에 대하여 볼트구멍의 지압강도를 검토해야 한다.	0	
1625	받침부에서 주열대 내의 철근 중 1/2 이상은 기둥을 중심으로 슬래브의 유효폭() 내에 배치하여야 한다.	0	
1626	띠장 및 버팀대에 작용하는 하중은 아래 방향 분단법을 이용하여 구한다.	0	
1627	그렇지 않은 경우, 이와 같은 부재들은 KDS 14 20 66(4.3)의 요구사항과 KDS 14 20 80(4.5.6)의 특수 철근콘크리트 구조벽의 경계부재에 대한 요구사항을 만족하는 합성압축부재로 설계해야 한다.	0	
1628	수직보강재는 패널에 작용하는 최대 전단력을 고려하여 간격을 정한다.	1	['수직보강재는', '간격을', '정한다.']
1629	다음의 경우에는 밀착조임을 사용할 수 있다.	0	
1630	박스단면의 모든 상세에서 모재의 피로강도를 검토할 때, 종방향 뒴으로 인한 응력범위를 고려해야 한다.	0	
1631	모든 면에서 받침부의 면적이 재하면적보다 넓은 경우를 제외한다.	0	
1632	링크와 가새가 접합하는 부분에는 웨브 전체높이의 웨브 보강재를 링크웨브의 양면에 설치해야 한다.	0	
1633	내하력 부족의 요인을 알 수 있거나 해석에서 요구되는 부재치수 및 재료특성을 측정할 수 있는 경우, 이러한 측정값을 근거로 내하력에 대한 4.3 해석에 의한 평가를 실시할 수 있다.	0	
1634	전면벽의 두께는 KDS 14 20 72(4.3.2(3)) 내력벽체의 최소 두께 규정에 따라야 한다.	0	
1635	기계적이음과 용접이음은 4.1.6과 4.1.7의 규정을 따라야 한다.	1	['용접이음은', '규정을', '따라야 한다.']
1636	띠철근 내측에 배치되는 축방향 철근량은 전체 단면적의 0.01배 이상, 0.08배 이하로 하여야 한다.	0	
1637	각 부재와 연결부(접합부)는 시공성, 경제성, 미관 및 유지관리를 고려한 안전성 및 사용성을 확보하기 위하여 규정된 한계상태에 대하여 설계한다.	0	
1638	거세트플레이트의 최소두께는 9mm를 표준으로 한다.	1	['최소두께는', '9mm를', '표준으로']
1639	강구조물 구조상세에 대한 피로설계 시 고려해야 할 응력은 활하중에 의해 발생된 응력 범위이다.	0	
1640	이 때 적용하는 철근의 최소항복강도는 400MPa 이상이어야 하며, D19 이하의 철근을 사용해야 한다.	1	['최소항복강도는', '철근을', '사용해야 한다.']
1641	위의 식의 모든 기호는 A.3.3 규정의 정의를 따른다.	1	['기호는', '정의를 ', '따른다.']
1642	그렇지 않으면 단면은 비조밀단면으로 간주하고 4.3.3.1.7.2를 만족해야 한다.	1	['단면은', '4.3.3.1.7.2를', '만족해야 한다.']
1643	4.3.3.2.1.1의 규정대로 다중 박스거더 단면을 설계할 경우 단면내부나 단면과 단면 사이에 영구적인 다이아프램이나 수직가새를 설치하지 않아도 좋다.	0	
1644	식 (4.2-1)에 표시된 아치 리브의 세장비가 35를 초과하는 경우에는 유한변형이론 등에 의해 아치 축선 이동의 영향을 고려하여 단면력을 계산하여야 한다.	0	
1645	횡방향 철근의 중심간 간격은 직경 D10의 철근을 사용할 경우에는 300mm 이하, 직경 D13 이상의 철근을 사용할 경우에는 400mm 이하로 한다.	0	
1646	강관 단면의 슬롯에 거세플레이트를 용접하는 경우 강관의 순단면적은 총단면적에서 슬롯에 의해 공제된 단면적으로 한다.	0	
1647	그렇지 않은 경우는 구조해석을 통하여 안전성을 검토하여야 한다.	1	['경우는', '안전성을', '검토하여야 한다.']
1648	보가 없는 슬래브의 철근은 4.1.5의 모든 요구 조건과 더불어 그림 4.1-1에 표시한 최소 연장길이도 확보하여야 한다.	0	
1649	프리스트레스트콘크리트 부재의 추가 장기처짐은 지속하중이 작용할 때 콘크리트와 철근의 응력을 고려하고, 콘크리트의 크리프 및 건조수축과 긴장재의 릴랙세이션의 영향을 고려하여 계산하여야 한다.	1	['장기처짐은', '응력을', '고려하고']
1650	앵커 설계인장강도는 4.1(3)④라에 따라 계산한다.	0	
1651	지진에 의하여 발생된 인장력이 말뚝캡 또는 전면기초와 프리캐스트콘크리트 말뚝 사이에서 말뚝의 상단에 설치된 보강근에 의해 전달되는 경우에, 그라우트 시스템은 최소한 철근의 설계기준항복강도의 125%까지 도달할 수 있다는 것을 시험에 의하여 확인하여야 한다.	1	['시스템은', '것을', '확인하여야 한다.']
1652	볼트 구멍의 직경은 볼트 직경보다 1.0mm 큰 것을 최대로 한다.	1	['직경은', '것을', '최대로 한다.']
1653	휨부재의 설계휨강도 계산은 이 기준의 강도설계법에 따라야 한다.	0	
1654	다만, 채택한 가정은 해당 해석 과정을 통하여 일관성이 있어야 한다.	0	
1655	압축력을 받는 측벽의 한계상태의 경우, 설계강도는 측벽의 국부항복응력, 측벽의 국부크리플링, 측벽의 국부좌굴 한계상태 일 때의 값 중에서 최솟값으로 한다.	0	
1656	특별 보강철근은 슬래브 상부에서 대각선에 평행한 방향으로 배치하고 슬래브 하부의 경우 대각선에 직각방향으로 배치하여야 한다.	0	
1657	식수로 적합하지 않은 물로 만들어진 모르타르 시험체의 7일과 28일 강도는 식수로 만들어진 같은 형태의 공시체 강도의 90% 이상의 강도를 각각 가져야 한다.	1	['강도는', '강도를', '가져야 한다.']
1658	이 경우 가장 위험한 부위는 가장자리에서 가장 멀리 떨어진 앵커 열이고 값은 이 거리가 되며, 모든 전단력은 이 앵커 열을 따라 전달된다고 볼 수 있다.	1	['전단력은', '열을', '따라']
1659	지선 또는 전선에 착빙, 착설이 발생하는 지역 및 탑체의 구조에 다량의 적설이 예상되는 지역에서는 이들의 영향을 고려한다.	0	
1660	사각형 후프철근의 전체 단면적은 식 (4.5-3)과 식 (4.5-4)로 계산되는 값 이상으로 하여야 한다.	0	
1661	강도감소계수는 KDS 14 20 10(4.2.3)에 따라야 한다.	0	
1662	경간 내의 단면에 대한 휨모멘트의 계산은 수정된 부모멘트를 사용하여야 하며, 휨모멘트 재분배 이후에도 정적 평형은 유지되어야 한다.	1	['계산은', '부모멘트를', '사용하여야 하며']
1663	다만, 어떤 주근의 좌우 150mm 이내에 띠철근의 모서리가 있는 경우에 이 주근도 국부좌굴에 대해 구속된 것으로 간주한다.	0	
